stop_id	stop_name	stop_desc	stop_lat	stop_lon
1	VIA FERMI	Scuola elem.		
2	VIA FERMI			
b0001	VIA TRABACI			
3	VIA MATTEI	Farmacia		
4	VIA SALLUSTIO	Piazza		
5	VIA SALLUSTIO			
6	VIA GRAVINA	Snam		
7	VIA DEI DAUNI			
8	VIA DEI PEUCEZI	inc. Via Messapi		
9	VIA DEI PEUCEZI			
10	VIA DEI PEUCEZI	inc. Via Japigi		
11	VIA DEI PEUCEZI			
12	VIA NAZIONALE	Fr. Staz. Villa L.		
13	VIA NAZIONALE			
14	VIA NAZIONALE			
15	VIA NAZIONALE	Fr. Farmacia		
16	VIA NAZIONALE			
17	VIA ANNUNZIATELLA			
18	VIA ANNUNZIATELLA			
19	VIA ANNUNZIATELLA	inc. Via Rosselli		
b0002	VIA XX SETTEMBRE			
20	VIA LUCANA			
21-22	VIA LUCANA	Boschetto		
23	VIA LUCANA	Inail		
24	VIA LUCANA			
25	VIA LUCANA	Provincia		
26	VIA LUCANA	Fr.Chiesa S.Rocco		
27	VIA LUCANA			
28	VIA LUCANA	Milizia		
29	VIA CAPPUCCINI			
30	VIA CAPPUCCINI			
31	VIA GUIDA			
32	VIA FRANGIONE	Scuola elem.		
33	VIA FARINA			
34	VIA FARINA			
35	VIA FARINA			
36	VIA FARINA			
37	VIA FRANGIONE	Capolinea - ASM		
